기간	자치구	동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2022.1/4	강동구	명일2동	6,522	17,520	8,573	8,947	17,473	8,555	8,918	47	18	29	2.68	2,641
2022.1/4	강동구	고덕1동	8,215	24,074	12,268	11,806	23,958	12,187	11,771	116	81	35	2.92	2,873
2022.1/4	강동구	고덕2동	8,854	22,545	11,380	11,165	22,383	11,277	11,106	162	103	59	2.53	3,090
2022.1/4	강동구	암사2동	6,373	15,201	7,351	7,850	15,145	7,332	7,813	56	19	37	2.38	2,439
2022.1/4	강동구	암사3동	6,263	17,838	8,746	9,092	17,793	8,724	9,069	45	22	23	2.84	2,723
2022.1/4	강동구	천호1동	12,953	26,920	13,185	13,735	26,692	13,104	13,588	228	81	147	2.06	5,299
2022.1/4	강동구	천호3동	14,390	26,845	13,044	13,801	26,410	12,832	13,578	435	212	223	1.84	4,678
2022.1/4	강동구	성내1동	8,397	20,068	9,652	10,416	19,942	9,602	10,340	126	50	76	2.37	3,157
2022.1/4	강동구	성내2동	12,830	23,973	11,802	12,171	23,403	11,516	11,887	570	286	284	1.82	4,443
2022.1/4	강동구	성내3동	10,712	23,235	11,359	11,876	22,975	11,252	11,723	260	107	153	2.14	3,936
2022.1/4	강동구	둔촌1동	81	143	79	64	132	74	58	11	5	6	1.63	40
2022.1/4	강동구	둔촌2동	10,455	24,641	12,123	12,518	24,529	12,074	12,455	112	49	63	2.35	4,184
2022.1/4	강동구	암사1동	15,958	34,643	17,157	17,486	34,352	17,035	17,317	291	122	169	2.15	6,155
2022.1/4	강동구	천호2동	17,499	33,671	16,467	17,204	33,070	16,193	16,877	601	274	327	1.89	5,978
2022.1/4	강동구	길동	21,917	45,863	22,374	23,489	45,554	22,269	23,285	309	105	204	2.08	8,167
2022.1/4	강동구	강일동	12,889	32,947	15,789	17,158	32,762	15,733	17,029	185	56	129	2.54	5,437
2022.1/4	강동구	상일1동	13,477	38,832	19,137	19,695	38,713	19,082	19,631	119	55	64	2.87	4,561
2022.1/4	강동구	상일2동	4,028	10,254	4,812	5,442	10,219	4,803	5,416	35	9	26	2.54	1,547
